,1
0,0.388519
1,0.54142433
2,0.5650246
3,0.7699082
4,0.7253709
5,0.96317434
6,0.9692366
7,0.997361
8,0.997636
9,0.997636
10,0.997636
11,0.997636
12,0.997636
13,0.997636
14,0.997636
15,0.997636
16,0.997636
17,0.997636
18,0.997636
19,0.997636
20,0.997636
21,0.997636
22,0.997636
23,0.997636
24,0.997636
25,0.997636
26,0.997636
27,0.997636
28,0.997636
29,0.997636
30,0.997636
31,0.997636
32,0.997636
33,0.997636
34,0.997636
35,0.997636
36,0.997636
37,0.997636
38,0.997636
39,0.997636
40,0.997636
41,0.997636
42,0.997636
43,0.997636
44,0.997636
45,0.997636
46,0.997636
47,0.997636
48,0.997636
49,0.997636
50,0.997636
51,0.997636
52,0.997636
53,0.997636
54,0.997636
55,0.997636
56,0.997636
57,0.997636
58,0.997636
59,0.997636
60,0.997636
61,0.997636
62,0.997636
63,0.997636
64,0.997636
65,0.997636
66,0.997636
67,0.997636
68,0.997636
69,0.997636
70,0.997636
71,0.997636
72,0.997636
73,0.997636
74,0.997636
75,0.997636
76,0.997636
77,0.997636
78,0.997636
79,0.997636
80,0.997636
81,0.997636
82,0.997636
83,1.0
84,0.99810827
85,0.93197894
86,0.8573784
87,0.65257794
88,0.44563475
89,0.3599082
90,0.15583098
91,0.069189005
92,-0.022563105
93,-0.17427063
94,-0.22984774
95,-0.23745735
96,-0.29371876
97,-0.32288194
98,-0.3204732
99,-0.3216886
100,-0.32035562
101,-0.32121506
102,-0.32056618
103,-0.32408446
104,-0.32309714
105,-0.3220162
106,-0.32388774
107,-0.3236514
108,-0.32257813
109,-0.3215511
110,-0.32330045
111,-0.3232136
112,-0.32456788
113,-0.3229496
114,-0.32418475
115,-0.3219943
116,-0.32370242
117,-0.32153928
118,-0.32453436
119,-0.32369217
120,-0.32099485
121,-0.32226312
122,-0.32255873
123,-0.31978747
124,-0.3189258
125,-0.32298735
126,-0.31972528
127,-0.31961584
128,-0.32125098
129,-0.3193537
130,-0.31913638
131,-0.31901452
132,-0.32292324
133,-0.31880048
134,-0.31839114
135,-0.31175426
136,-0.28285462
137,-0.29065743
138,-0.27135152
139,-0.26299664
140,-0.30816364
141,-0.27239075
142,-0.28307676
143,-0.2732799
144,-0.28459334
145,-0.3073648
146,-0.28896555
147,-0.31295708
148,-0.32237414
149,-0.32116213
150,-0.3227053
151,-0.32083762
152,-0.32319766
153,-0.3244392
154,-0.31401664
155,-0.30018613
156,-0.2957105
157,-0.2991902
158,-0.29033256
159,-0.30093303
160,-0.29944468
161,-0.2922728
162,-0.28874275
163,-0.2913858
164,-0.3055934
165,-0.30440232
166,-0.30983528
167,-0.31788263
168,-0.31597936
169,-0.30727658
170,-0.30954427
171,-0.3101995
172,-0.30255014
173,-0.32046333
174,-0.30896378
175,-0.3069175
176,-0.30298764
177,-0.31134596
178,-0.31649166
179,-0.31076822
180,-0.3197293
181,-0.32207245
182,-0.32148454
183,-0.32084858
184,-0.32044807
185,-0.32097027
186,-0.3204647
187,-0.3182467
188,-0.3193969
189,-0.3192411
190,-0.3171826
191,-0.31866717
192,-0.32102638
193,-0.31478012
194,-0.3154982
195,-0.3178008
196,-0.3163928
197,-0.31662482
198,-0.32059237
199,-0.32104716
200,-0.3186913
201,-0.32268035
202,-0.32252038
203,-0.3201327
204,-0.32343796
205,-0.32364362
206,-0.32412037
207,-0.32275087
208,-0.32476303
209,-0.32202473
210,-0.32459387
211,-0.32521623
212,-0.32599682
213,-0.32246625
214,-0.32519573
215,-0.3250711
216,-0.32672465
217,-0.3260144
218,-0.3244714
219,-0.3265808
220,-0.32443294
221,-0.32609114
222,-0.3253752
223,-0.32497045
224,-0.32322073
225,-0.32400057
226,-0.3235293
227,-0.31575635
228,-0.31568325
229,-0.31853434
230,-0.3134374
231,-0.32195276
232,-0.31890443
233,-0.31573012
234,-0.31100142
235,-0.3191812
236,-0.3217099
237,-0.31247526
238,-0.29799855
239,-0.30427825
240,-0.30098408
241,-0.2889063
242,-0.3213134
243,-0.29595548
244,-0.29582
245,-0.29406294
246,-0.29985356
247,-0.31150526
248,-0.30310872
249,-0.31434128
250,-0.31824613
251,-0.31581834
252,-0.3135634
253,-0.31983122
254,-0.31299916
255,-0.31684953
256,-0.31268835
257,-0.32170877
258,-0.3176745
259,-0.3178238
260,-0.32331276
261,-0.3224015
262,-0.32379487
263,-0.32206702
264,-0.32503477
265,-0.31869823
266,-0.32159242
267,-0.31636626
268,-0.31491175
269,-0.3185758
270,-0.31612885
271,-0.31165296
272,-0.310308
273,-0.31580397
274,-0.31221542
275,-0.31453025
276,-0.31978947
277,-0.31831604
278,-0.32064617
279,-0.3199208
280,-0.32229552
281,-0.32280123
282,-0.32412642
283,-0.32400358
284,-0.32514083
285,-0.32536936
