,1
0,0.109864034
1,0.027565962
2,0.05634324
3,-0.035746545
4,-0.19789249
5,-0.2644626
6,-0.27909884
7,-0.3700986
8,-0.4004765
9,-0.41179997
10,-0.41179997
11,-0.41179997
12,-0.41179997
13,-0.41179997
14,-0.41179997
15,-0.41179997
16,-0.41179997
17,-0.41179997
18,-0.41179997
19,-0.41179997
20,-0.41179997
21,-0.41179997
22,-0.41179997
23,-0.41179997
24,-0.41179997
25,-0.41179997
26,-0.41179997
27,-0.41179997
28,-0.41179997
29,-0.41179997
30,-0.41179997
31,-0.41179997
32,-0.41179997
33,-0.41179997
34,-0.41179997
35,-0.41179997
36,-0.41179997
37,-0.41179997
38,-0.41179997
39,-0.41179997
40,-0.41179997
41,-0.41179997
42,-0.41179997
43,-0.41179997
44,-0.41179997
45,-0.41179997
46,-0.41179997
47,-0.41179997
48,-0.41179997
49,-0.41179997
50,-0.41179997
51,-0.41179997
52,-0.41179997
53,-0.41179997
54,-0.41179997
55,-0.41179997
56,-0.41179997
57,-0.41179997
58,-0.41179997
59,-0.41179997
60,-0.41179997
61,-0.41179997
62,-0.41179997
63,-0.41179997
64,-0.41179997
65,-0.41179997
66,-0.41179997
67,-0.41179997
68,-0.41179997
69,-0.41179997
70,-0.41179997
71,-0.41179997
72,-0.41179997
73,-0.41179997
74,-0.41179997
75,-0.41179997
76,-0.41179997
77,-0.41179997
78,-0.41179997
79,-0.41179997
80,-0.41179997
81,-0.41179997
82,-0.41179997
83,-0.41179997
84,-0.41179997
85,-0.41179997
86,-0.41179997
87,-0.41179997
88,-0.41179997
89,-0.41179997
90,-0.41179997
91,-0.41179997
92,-0.41179997
93,-0.41179997
94,-0.41179997
95,-0.41179997
96,-0.41179997
97,-0.41179997
98,-0.41179997
99,-0.41179997
100,-0.41179997
101,-0.41179997
102,-0.41179997
103,-0.41179997
104,-0.41179997
105,-0.41179997
106,-0.41179997
107,-0.41179997
108,-0.41179997
109,-0.41179997
110,-0.41179997
111,-0.41179997
112,-0.41179997
113,-0.41179997
114,-0.41179997
115,-0.4126328
116,-0.40654305
117,-0.37003538
118,-0.28915697
119,-0.18797599
120,-0.12556201
121,0.0021526313
122,0.20957711
123,0.25811452
124,0.33784118
125,0.3594099
126,0.38993546
127,0.4064052
128,0.41647062
129,0.4372001
130,0.4385198
131,0.4368359
132,0.43830854
133,0.43654338
134,0.4353396
135,0.43551642
136,0.43605283
137,0.43547896
138,0.43572873
139,0.43671498
140,0.43580812
141,0.43630502
142,0.4325604
143,0.4358242
144,0.42884976
145,0.39447775
146,0.42690966
147,0.38079792
