,fpr_micro,tpr_micro,fpr_macro,tpr_macro
0,0.0,0.0,0.0,0.26666666666666666
1,0.0078125,0.0,0.022727272727272728,0.3
2,0.0234375,0.0,0.025,0.3
3,0.0234375,0.140625,0.06818181818181818,0.31666666666666665
4,0.03125,0.140625,0.075,0.44166666666666665
5,0.03125,0.171875,0.09090909090909091,0.4583333333333333
6,0.0390625,0.171875,0.1,0.4861111111111111
7,0.0390625,0.25,0.11363636363636363,0.5361111111111111
8,0.046875,0.25,0.125,0.6055555555555555
9,0.046875,0.328125,0.15,0.6749999999999999
10,0.0546875,0.328125,0.1590909090909091,0.7083333333333334
11,0.0546875,0.34375,0.175,0.7222222222222222
12,0.0859375,0.34375,0.20454545454545456,0.7388888888888889
13,0.0859375,0.390625,0.22727272727272727,0.7722222222222221
14,0.09375,0.390625,0.2727272727272727,0.7888888888888889
15,0.09375,0.4375,0.275,0.8166666666666668
16,0.1171875,0.4375,0.36363636363636365,0.8666666666666667
17,0.1171875,0.453125,0.4318181818181818,0.9166666666666666
18,0.125,0.453125,0.6136363636363636,0.9333333333333332
19,0.125,0.5,0.9772727272727273,0.9500000000000001
20,0.140625,0.5,1.0,1.0
21,0.140625,0.578125,,
22,0.1484375,0.578125,,
23,0.1484375,0.59375,,
24,0.1640625,0.59375,,
25,0.1640625,0.609375,,
26,0.171875,0.609375,,
27,0.171875,0.65625,,
28,0.1796875,0.65625,,
29,0.1796875,0.671875,,
30,0.1875,0.671875,,
31,0.1875,0.71875,,
32,0.1953125,0.71875,,
33,0.1953125,0.75,,
34,0.2109375,0.75,,
35,0.2109375,0.78125,,
36,0.2265625,0.78125,,
37,0.2265625,0.8125,,
38,0.265625,0.8125,,
39,0.265625,0.828125,,
40,0.2890625,0.828125,,
41,0.2890625,0.84375,,
42,0.3046875,0.84375,,
43,0.3046875,0.875,,
44,0.4609375,0.875,,
45,0.4609375,0.90625,,
46,0.6640625,0.90625,,
47,0.6640625,0.921875,,
48,0.6796875,0.921875,,
49,0.6796875,0.9375,,
50,0.9765625,0.9375,,
51,0.9765625,0.953125,,
52,0.9921875,0.953125,,
53,0.9921875,0.96875,,
54,1.0,0.96875,,
55,1.0,1.0,,
