,acc,loss,lr,val_acc,val_loss
0,0.5479876161913385,0.919287525278865,0.0010000000474974513,0.375,1.4747865982353687
1,0.6099071209275686,0.8003052984228813,0.0010000000474974513,0.40625,1.384690783917904
2,0.6842105263157895,0.7268568998888919,0.0010000000474974513,0.40625,1.2232832126319408
3,0.718266253869969,0.6584585185390508,0.0010000000474974513,0.671875,0.7577016893774271
4,0.7213622291021672,0.6374433669881555,0.0010000000474974513,0.59375,1.1352536100894213
5,0.749226006376485,0.6186966257567745,0.0010000000474974513,0.625,0.965060074813664
6,0.804953560371517,0.5496742195758288,0.0010000000474974513,0.515625,1.105321615934372
7,0.7894736843950608,0.5410111835312917,0.0010000000474974513,0.53125,1.7418103851377964
8,0.7708978328173375,0.5452967924599308,0.0010000000474974513,0.640625,0.6489371405914426
9,0.8359133126934984,0.48230971894212554,0.0010000000474974513,0.53125,1.0354895163327456
