,0
0,1074
1,7505
2,11845
3,285
4,1438
5,0
6,0
7,9121
8,2
9,1123
10,2
11,0
12,11536
13,0
14,86
15,2
16,0
17,9887
18,1
19,71
20,1
21,0
22,11952
23,2
24,96
25,1
26,0
27,11158
28,0
29,79
30,2
31,0
32,11206
33,1
34,1183
35,12
36,0
37,11537
38,39
39,273
40,2
41,0
42,11128
43,9
44,89
45,1
46,0
47,11218
48,1
49,80
50,1
51,0
52,11373
53,2
54,88
55,2
56,0
57,11762
58,2
59,106
60,52
61,371
62,467
63,9
64,94
65,0
66,0
67,363
68,9
69,103
70,8
71,0
72,344
73,9
74,95
75,8
76,0
77,357
78,9
79,98
80,10
81,0
82,366
83,8
84,107
85,11
86,0
87,385
88,10
89,103
90,11
91,0
92,372
93,10
94,150
95,10
96,0
97,388
98,11
99,90
100,9
101,0
102,388
103,10
104,101
105,10
106,0
107,417
108,10
109,103
110,9
111,0
112,373
113,8
114,104
115,9
116,0
117,361
118,9
119,28315
120,13537
121,148329
122,152655
123,1125
124,19669
125,0
126,0
127,129061
128,1128
129,19817
130,1013
131,0
132,134335
133,1128
134,19818
135,1016
136,0
137,129270
138,1128
139,19797
140,1058
141,0
142,126301
143,1128
144,19847
145,1016
146,0
147,129066
148,1170
149,19911
150,1016
151,0
152,127193
153,1128
154,31233
155,1016
156,0
157,129123
158,1128
159,20946
160,1016
161,0
162,131512
163,1128
164,20009
165,1016
166,0
167,128941
168,6223
169,19860
170,1016
171,0
172,134116
173,1128
174,19807
175,1016
176,0
177,128991
178,1128
179,977
180,836
181,5527
182,6177
183,115
184,901
185,0
186,0
187,3526
188,2
189,972
190,1
191,0
192,3618
193,0
194,71
195,1
196,0
197,3568
198,1
199,67
200,1
201,0
202,3394
203,2
204,73
205,1
206,0
207,3515
208,0
209,72
210,2
211,0
212,3401
213,1
214,727
215,2
216,0
217,3429
218,38
219,235
220,1
221,0
222,3554
223,3
224,80
225,1
226,0
227,3352
228,0
229,73
230,1
231,0
232,3417
233,2
234,70
235,1
236,0
237,3418
238,1
