,0
0,1451
1,1165
2,0
3,12181
4,259
5,1632
6,266
7,0
8,13001
9,250
10,1815
11,217
12,0
13,12311
14,248
15,1699
16,240
17,0
18,12698
19,237
20,2024
21,195
22,0
23,13404
24,256
25,1945
26,282
27,0
28,13151
29,244
30,1743
31,198
32,0
33,12282
34,232
35,1719
36,266
37,0
38,13225
39,253
40,1837
41,217
42,0
43,11934
44,236
45,1729
46,259
47,0
48,12269
49,231
50,1740
51,209
52,0
53,12176
54,257
55,1695
56,258
57,0
58,12867
59,10
60,117
61,59
62,0
63,348
64,9
65,112
66,11
67,0
68,358
69,8
70,113
71,8
72,0
73,357
74,10
75,108
76,9
77,0
78,342
79,12
80,118
81,9
82,0
83,377
84,9
85,118
86,9
87,0
88,424
89,10
90,108
91,10
92,0
93,395
94,9
95,105
96,11
97,0
98,346
99,8
100,102
101,9
102,0
103,374
104,10
105,112
106,10
107,0
108,348
109,11
110,106
111,10
112,0
113,403
114,11
115,107
116,9
117,0
118,349
119,1128
120,19879
121,13973
122,0
123,126039
124,1127
125,19893
126,1016
127,0
128,125330
129,1127
130,19916
131,1016
132,0
133,126127
134,1127
135,19946
136,1016
137,0
138,124830
139,1169
140,19899
141,1016
142,0
143,126321
144,1127
145,20008
146,1016
147,0
148,128127
149,1127
150,19925
151,1016
152,0
153,126783
154,1127
155,19863
156,1016
157,0
158,124873
159,1128
160,22582
161,1016
162,0
163,127537
164,1128
165,20034
166,1016
167,0
168,125846
169,1128
170,19880
171,1017
172,0
173,129091
174,1128
175,19864
176,1016
177,0
178,124731
179,107
180,1030
181,800
182,0
183,3724
184,113
185,1056
186,110
187,0
188,3850
189,104
190,1105
191,103
192,0
193,3606
194,104
195,966
196,106
197,0
198,3656
199,101
200,1040
201,98
202,0
203,3815
204,106
205,983
206,123
207,0
208,3755
209,107
210,1054
211,106
212,0
213,3997
214,96
215,971
216,110
217,0
218,4051
219,105
220,1040
221,104
222,0
223,3733
224,102
225,984
226,116
227,0
228,3711
229,98
230,993
231,99
232,0
233,3700
234,104
235,967
236,106
237,0
238,3964
