,0
0,176
1,0
2,10937
3,2287
4,1189
5,185
6,2627
7,4036
8,183
9,1384
10,970
11,0
12,9385
13,132
14,1101
15,151
16,0
17,12307
18,0
19,1012
20,150
21,0
22,11842
23,243
24,841
25,118
26,0
27,12494
28,205
29,1635
30,26
31,0
32,11879
33,180
34,1764
35,199
36,0
37,8031
38,156
39,1516
40,214
41,0
42,10553
43,108
44,1517
45,152
46,0
47,11983
48,0
49,998
50,133
51,0
52,11813
53,227
54,1064
55,107
56,0
57,12198
58,200
59,509
60,9
61,0
62,460
63,165
64,99
65,10
66,244
67,383
68,9
69,177
70,67
71,0
72,399
73,9
74,121
75,9
76,0
77,419
78,8
79,129
80,9
81,0
82,407
83,9
84,131
85,10
86,0
87,420
88,9
89,118
90,8
91,0
92,423
93,10
94,123
95,9
96,0
97,380
98,9
99,118
100,13
101,0
102,363
103,10
104,125
105,9
106,0
107,416
108,8
109,130
110,9
111,0
112,456
113,12
114,116
115,11
116,0
117,389
118,9
119,162062
120,1025
121,0
122,131180
123,76973
124,19832
125,1025
126,80423
127,125054
128,1134
129,33467
130,14616
131,0
132,128662
133,1134
134,19894
135,1022
136,0
137,129720
138,1137
139,19836
140,1025
141,0
142,133389
143,1137
144,19858
145,1022
146,0
147,128160
148,1134
149,19815
150,1025
151,0
152,127991
153,1134
154,19798
155,1025
156,0
157,129157
158,1180
159,19819
160,6540
161,0
162,128092
163,1134
164,19828
165,1062
166,0
167,128028
168,1137
169,19911
170,1025
171,0
172,130006
173,1137
174,19827
175,1022
176,0
177,129520
178,1134
179,7197
180,117
181,0
182,3684
183,2004
184,978
185,106
186,1598
187,2598
188,122
189,1178
190,912
191,0
192,3689
193,111
194,996
195,112
196,0
197,3493
198,0
199,951
200,103
201,0
202,3666
203,117
204,811
205,88
206,0
207,3407
208,108
209,986
210,10
211,0
212,3622
213,113
214,1027
215,105
216,0
217,3508
218,116
219,1007
220,117
221,0
222,3689
223,96
224,999
225,107
226,0
227,3621
228,0
229,931
230,107
231,0
232,3592
233,113
234,826
235,90
236,0
237,3435
238,109
