,0
0,370443
1,565502
2,43
3,3124
4,81240
5,885449
6,98171
7,13945
8,11509
9,249951
10,211993
11,101574
12,4329
13,12289
14,110796
15,175026
16,96466
17,13293
18,4899
19,107600
20,183819
21,99458
22,5952
23,11269
24,103442
25,215824
26,97205
27,10104
28,4807
29,116689
30,182539
31,102276
32,5225
33,11976
34,99522
35,178331
36,95709
37,9662
38,4854
39,111282
40,191753
41,82920
42,5157
43,9838
44,108634
45,182709
46,89681
47,9063
48,5956
49,111732
50,187830
51,97816
52,6100
53,7965
54,106816
55,184881
56,91675
57,10512
58,5042
59,445363
60,31649
61,75963
62,179
63,688
64,8356
65,41609
66,3528
67,428
68,326
69,22562
70,5116
71,4015
72,85
73,342
74,6461
75,4379
76,3556
77,333
78,157
79,5148
80,4328
81,3538
82,146
83,335
84,5291
85,8358
86,3480
87,310
88,144
89,5998
90,4673
91,3812
92,143
93,316
94,5255
95,4314
96,3445
97,293
98,136
99,5666
100,4284
101,3272
102,144
103,311
104,5272
105,4228
106,3342
107,320
108,196
109,5562
110,4450
111,3634
112,135
113,311
114,5481
115,4438
116,3396
117,328
118,142
119,227976832
120,19293617
121,57608753
122,50636
123,203392
124,2239574
125,48950628
126,811773
127,140172
128,97392
129,7443853
130,2088177
131,979827
132,23217
133,103666
134,1737043
135,1430685
136,887544
137,95149
138,42389
139,1380751
140,1507227
141,894569
142,50015
143,102820
144,1237519
145,4757923
146,865585
147,86459
148,41095
149,1493582
150,1603828
151,943261
152,50285
153,101960
154,1199376
155,1423955
156,863631
157,86852
158,39272
159,1411063
160,1494863
161,860499
162,50210
163,101766
164,1221849
165,1417600
166,832447
167,86328
168,55275
169,1436579
170,1463859
171,862110
172,50217
173,94420
174,1327590
175,1452616
176,825344
177,103396
178,41032
179,862223
180,112399
181,191011
182,8
183,531
184,30028
185,327763
186,29284
187,3732
188,2514
189,80085
190,72626
191,31013
192,1012
193,3534
194,34350
195,65947
196,28691
197,2778
198,1346
199,33579
200,67940
201,29832
202,1505
203,3304
204,33492
205,79070
206,29673
207,2379
208,1250
209,36655
210,68685
211,31553
212,1394
213,3568
214,31152
215,67647
216,29256
217,2363
218,1238
219,33415
220,70161
221,28261
222,1553
223,3322
224,33754
225,67981
226,28182
227,2325
228,1830
229,36311
230,68869
231,29735
232,1543
233,2267
234,35502
235,67403
236,27107
237,3094
238,1357
