,0
0,23781
1,2070
2,3387
3,216
4,0
5,133585
6,255
7,1275
8,228
9,90468
10,9762
11,2872
12,211
13,286
14,0
15,10433
16,1043
17,1010
18,245
19,0
20,11733
21,279
22,1075
23,1028
24,3880
25,15971
26,192
27,300
28,3154
29,0
30,15884
31,2041
32,317
33,235
34,0
35,13963
36,296
37,286
38,196
39,3718
40,15508
41,186
42,2696
43,198
44,0
45,9095
46,2
47,178
48,136
49,0
50,15713
51,182
52,163
53,71010
54,69739
55,3938
56,283
57,1
58,0
59,119
60,465
61,136
62,241
63,9
64,0
65,8704
66,11
67,100
68,9
69,23404
70,235
71,89
72,10
73,9
74,0
75,249
76,33
77,33
78,9
79,0
80,210
81,10
82,35
83,34
84,122
85,461
86,9
87,10
88,130
89,0
90,276
91,104
92,11
93,9
94,0
95,313
96,10
97,12
98,10
99,164
100,293
101,10
102,91
103,9
104,0
105,245
106,9
107,10
108,10
109,0
110,325
111,10
112,12
113,963
114,646
115,340
116,88
117,9
118,0
119,33582
120,240598
121,422885
122,62652
123,1018
124,0
125,5659817
126,1129
127,26178
128,1017
129,6466127
130,84851
131,27403
132,1128
133,1017
134,0
135,80269
136,5158
137,8285
138,1017
139,0
140,74034
141,1129
142,5084
143,4978
144,32818
145,157688
146,1129
147,1125
148,27881
149,0
150,87343
151,20920
152,1129
153,1017
154,0
155,108582
156,1129
157,1129
158,1017
159,47683
160,106902
161,1126
162,19217
163,1016
164,0
165,82470
166,1166
167,1128
168,1016
169,0
170,128255
171,1129
172,1125
173,17866738
174,9086890
175,116329
176,20802
177,1013
178,0
179,1722
180,6272
181,1137
182,2548
183,118
184,0
185,72596
186,117
187,1045
188,109
189,51199
190,2992
191,1023
192,109
193,112
194,0
195,2874
196,737
197,687
198,113
199,0
200,2889
201,111
202,724
203,685
204,1962
205,4592
206,115
207,111
208,1816
209,0
210,3663
211,1208
212,111
213,114
214,0
215,3306
216,109
217,109
218,114
219,1308
220,3449
221,117
222,1017
223,113
224,0
225,2970
226,2
227,113
228,86
229,0
230,3496
231,112
232,96
233,43452
234,30830
235,1085
236,273
237,1
238,0
