,0
0,3215
1,15296
2,1257
3,6
4,2
5,0
6,8840
7,5
8,94
9,11
10,0
11,2946
12,9
13,139
14,2
15,0
16,3599
17,0
18,39
19,0
20,0
21,979
22,0
23,41
24,0
25,0
26,495
27,0
28,24
29,0
30,442
31,8170
32,13
33,53
34,4
35,57982
36,7058
37,14
38,0
39,1
40,0
41,301
42,67
43,4
44,12
45,0
46,3969
47,0
48,0
49,0
50,0
51,672
52,0
53,0
54,0
55,0
56,376
57,0
58,0
59,63
60,183
61,417
62,100
63,9
64,12
65,0
66,360
67,10
68,90
69,10
70,0
71,367
72,8
73,85
74,9
75,0
76,376
77,8
78,95
79,10
80,0
81,360
82,8
83,82
84,10
85,0
86,402
87,9
88,86
89,9
90,43
91,410
92,8
93,81
94,9
95,4823
96,333
97,96
98,9
99,8
100,0
101,214
102,10
103,8
104,9
105,0
106,200
107,9
108,9
109,10
110,0
111,190
112,9
113,9
114,8
115,0
116,192
117,9
118,9
119,14671
120,437393
121,139606
122,23181
123,1125
124,1013
125,0
126,127341
127,1128
128,19839
129,1013
130,0
131,124931
132,1126
133,19847
134,1013
135,0
136,124826
137,1128
138,19954
139,1013
140,0
141,128686
142,1128
143,19968
144,1013
145,0
146,126656
147,1128
148,20801
149,1016
150,11317
151,139032
152,1125
153,19793
154,4422
155,4989141
156,201624
157,29640
158,1128
159,1016
160,0
161,74754
162,1125
163,1125
164,1016
165,0
166,75940
167,1124
168,1124
169,1016
170,0
171,75901
172,1124
173,1124
174,1013
175,0
176,75922
177,1124
178,1124
179,933
180,1999
181,5085
182,1025
183,1
184,1
185,0
186,3516
187,5
188,83
189,1
190,0
191,1598
192,9
193,123
194,1
195,0
196,2082
197,0
198,33
199,0
200,0
201,663
202,0
203,29
204,0
205,0
206,228
207,0
208,6
209,0
210,390
211,3597
212,1
213,48
214,1
215,36932
216,835
217,12
218,0
219,1
220,0
221,85
222,49
223,3
224,4
225,0
226,1919
227,0
228,0
229,0
230,0
231,292
232,0
233,0
234,0
235,0
236,106
237,0
238,0
