,1
0,0.7472767
1,1.0
2,0.7823453
3,0.68499756
4,0.70677185
5,0.7127993
6,0.71287394
7,0.7056914
8,0.7091379
9,0.70150614
10,0.6752776
11,0.6521835
12,0.63956004
13,0.6348754
14,0.6176935
15,0.61086833
16,0.6093344
17,0.61374044
18,0.6235236
19,0.61638886
20,0.61516696
21,0.61819714
22,0.6181453
23,0.61173695
24,0.6094645
25,0.6114288
26,0.6106867
27,0.61072916
28,0.61080104
29,0.61084414
30,0.6108249
31,0.61082435
32,0.6107551
33,0.61077464
34,0.6106921
35,0.6106098
36,0.6106017
37,0.6105922
38,0.6106741
39,0.6106709
40,0.6105741
41,0.61058044
42,0.6107122
43,0.6107295
44,0.61064076
45,0.61075693
46,0.61087215
47,0.61077565
48,0.6107146
49,0.61089873
50,0.6111892
51,0.6114183
52,0.61105883
53,0.6108568
54,0.610271
55,0.6086529
56,0.60735375
57,0.6080468
58,0.60984546
59,0.61166143
60,0.61438715
61,0.6175698
62,0.6202332
63,0.6212043
64,0.62133276
65,0.6227945
66,0.6216823
67,0.62059414
68,0.61959
69,0.62079936
70,0.6207327
71,0.61806786
72,0.6168099
73,0.615826
74,0.6151021
75,0.61244744
76,0.61126345
77,0.6118505
78,0.6116727
79,0.6111642
80,0.6110227
81,0.61102223
82,0.61102706
83,0.610782
84,0.6106386
85,0.6107126
86,0.6107111
87,0.6107252
88,0.61073714
89,0.6107187
90,0.6107045
91,0.6106992
92,0.61068267
93,0.6106645
94,0.6106642
95,0.6106545
96,0.6106367
97,0.6106376
98,0.6106618
99,0.61066604
100,0.6106563
101,0.6106679
102,0.6106938
103,0.61072195
104,0.61070484
105,0.6107001
106,0.6106895
107,0.61068416
108,0.6106474
109,0.6106242
110,0.61063844
111,0.6106586
112,0.44234905
113,0.3403571
114,0.14488791
115,0.3639993
116,0.4341034
117,0.48700562
118,0.34787497
119,0.43844378
120,0.6300029
121,0.61605597
122,0.43469474
123,0.41334388
124,0.50931174
125,0.47385126
126,0.28170383
127,0.23843612
128,0.28864333
129,0.29593736
130,0.23338264
131,0.26390743
132,0.1674508
133,0.30378842
134,0.41290292
135,0.621172
136,0.7351237
137,0.79155844
138,0.58255696
139,0.508988
140,0.5250764
141,0.6866365
142,0.6499454
143,0.69466823
144,0.7341615
145,0.8205339
146,0.7648557
147,0.7547619
148,0.7579179
149,0.7548268
150,0.7459227
151,0.7339201
152,0.7305674
153,0.72491074
154,0.7117302
155,0.70295054
156,0.7046337
157,0.6952135
158,0.70970476
159,0.7217575
160,0.7208634
161,0.71941006
162,0.73611647
163,0.75572765
164,0.7554455
165,0.7497185
166,0.74262124
167,0.7368253
168,0.7195448
169,0.70366335
170,0.70186347
171,0.698201
172,0.6701806
173,0.65942717
174,0.6481632
175,0.66012836
176,0.6770508
177,0.67271125
178,0.65687084
179,0.6478262
180,0.6517365
181,0.63014406
182,0.62297153
183,0.63790995
184,0.6462235
185,0.64661723
186,0.6449504
187,0.6452508
188,0.6486
189,0.65158755
190,0.6417183
191,0.6315691
192,0.62801886
193,0.62658936
194,0.6182125
195,0.6119477
196,0.6126681
197,0.61574143
198,0.6195156
199,0.61547005
200,0.6141767
201,0.6149569
202,0.61524624
203,0.6112753
204,0.6097417
205,0.61106944
206,0.6106183
207,0.61064273
208,0.61067134
209,0.61069524
210,0.61068916
211,0.6106922
212,0.61066556
213,0.610682
214,0.6106395
215,0.6106012
216,0.61060405
217,0.61059827
218,0.61063075
219,0.610629
220,0.6105885
221,0.6105993
222,0.6106562
223,0.6106854
224,0.6106595
225,0.6107058
226,0.6107307
227,0.6106667
228,0.6106346
229,0.61070585
230,0.6108315
231,0.610927
232,0.6108341
233,0.6107383
234,0.6108234
235,0.6107988
236,0.6371119
237,0.8199002
238,0.6087738
