,0
0,175083
1,1379
2,303
3,10
4,78362
5,12354
6,1772
7,192
8,1138
9,0
10,10865
11,2382
12,187
13,1148
14,0
15,11669
16,234
17,189
18,150
19,2680
20,13286
21,220
22,192
23,182
24,0
25,13351
26,236
27,236
28,179
29,0
30,15966
31,239
32,183
33,160
34,2502
35,17110
36,266
37,2785
38,147
39,0
40,13785
41,229
42,238
43,195
44,0
45,16893
46,248
47,274
48,212
49,59947
50,87879
51,288
52,2015
53,226
54,0
55,13410
56,306
57,278
58,161
59,391
60,9333
61,166
62,131
63,10
64,23793
65,226
66,142
67,8
68,66
69,0
70,196
71,115
72,11
73,68
74,0
75,217
76,8
77,9
78,10
79,193
80,420
81,8
82,9
83,9
84,0
85,251
86,9
87,9
88,10
89,0
90,352
91,8
92,9
93,8
94,101
95,341
96,12
97,101
98,10
99,0
100,233
101,11
102,9
103,8
104,0
105,387
106,10
107,8
108,8
109,1040
110,1009
111,9
112,104
113,11
114,0
115,238
116,7
117,9
118,9
119,110574
120,5781996
121,46211
122,26588
123,1013
124,6501409
125,85115
126,27500
127,1125
128,16608
129,0
130,80211
131,31674
132,1125
133,16542
134,0
135,79664
136,1127
137,1125
138,1013
139,62987
140,150550
141,1128
142,1125
143,1013
144,0
145,86812
146,1128
147,1124
148,1013
149,0
150,116195
151,1128
152,1124
153,1013
154,26994
155,116571
156,1128
157,21088
158,1013
159,0
160,84990
161,1128
162,1124
163,1013
164,0
165,133608
166,1128
167,1124
168,1013
169,18278070
170,9395490
171,1129
172,22803
173,1013
174,0
175,83690
176,1129
177,1126
178,1013
179,4425
180,72051
181,1007
182,255
183,6
184,33431
185,3029
186,1123
187,115
188,965
189,0
190,2843
191,1765
192,113
193,884
194,0
195,2833
196,99
197,112
198,84
199,1301
200,4200
201,104
202,112
203,102
204,0
205,3185
206,104
207,107
208,91
209,0
210,3536
211,110
212,105
213,95
214,1066
215,4225
216,122
217,1040
218,76
219,0
220,3273
221,110
222,108
223,84
224,0
225,3456
226,115
227,108
228,91
229,23677
230,28307
231,116
232,1018
233,115
234,0
235,3394
236,105
237,113
238,79
