,0
0,132617
1,13242
2,1786
3,3
4,259
5,0
6,10795
7,173
8,330
9,264
10,0
11,7278
12,185
13,343
14,243
15,2815
16,13236
17,218
18,184
19,167
20,0
21,12695
22,258
23,164
24,305
25,0
26,16073
27,168
28,246
29,252
30,0
31,10455
32,289
33,173
34,215
35,0
36,13921
37,188
38,201
39,181
40,0
41,12195
42,234
43,164
44,326
45,947
46,11806
47,176
48,366
49,225
50,0
51,14244
52,236
53,229
54,239
55,0
56,11727
57,253
58,197
59,463
60,4367
61,229
62,101
63,9
64,12
65,0
66,231
67,10
68,12
69,9
70,0
71,194
72,12
73,10
74,9
75,106
76,229
77,11
78,11
79,10
80,0
81,219
82,10
83,10
84,9
85,0
86,352
87,12
88,9
89,10
90,0
91,216
92,10
93,10
94,11
95,0
96,217
97,11
98,11
99,10
100,0
101,226
102,12
103,11
104,9
105,49
106,245
107,10
108,10
109,10
110,0
111,509
112,10
113,11
114,10
115,0
116,236
117,11
118,10
119,144606
120,2498994
121,81014
122,25791
123,1125
124,1016
125,0
126,75759
127,1128
128,1129
129,1014
130,0
131,75608
132,1122
133,1127
134,1013
135,27033
136,75722
137,1124
138,1124
139,1016
140,0
141,75518
142,1125
143,1166
144,1016
145,0
146,114830
147,1125
148,1127
149,1013
150,0
151,75418
152,1128
153,1124
154,1013
155,0
156,75569
157,1124
158,1124
159,1013
160,0
161,73976
162,1124
163,1124
164,1017
165,11321
166,76326
167,1128
168,1128
169,1013
170,0
171,188226
172,1129
173,1125
174,1013
175,0
176,89855
177,1125
178,1124
179,6346
180,53030
181,3161
182,1035
183,1
184,118
185,0
186,2980
187,103
188,112
189,109
190,0
191,2896
192,113
193,112
194,92
195,1084
196,2921
197,97
198,90
199,99
200,0
201,2879
202,102
203,100
204,110
205,0
206,3448
207,108
208,112
209,117
210,0
211,2833
212,105
213,110
214,92
215,0
216,2873
217,88
218,85
219,107
220,0
221,3029
222,99
223,110
224,118
225,676
226,2879
227,110
228,112
229,93
230,0
231,3693
232,120
233,115
234,105
235,0
236,3018
237,106
238,92
