,0
0,13445
1,179
2,1055
3,957
4,1693
5,6996
6,3
7,99
8,1
9,0
10,2439
11,37
12,201
13,2
14,0
15,1515
16,1
17,53
18,0
19,0
20,802
21,0
22,7
23,0
24,0
25,140
26,0
27,5
28,0
29,0
30,118
31,0
32,9
33,0
34,23
35,214
36,0
37,3
38,0
39,0
40,115
41,0
42,1398
43,10
44,0
45,6843
46,33
47,491
48,2
49,0
50,5217
51,0
52,9
53,0
54,0
55,456
56,1
57,6
58,0
59,393
60,571
61,9
62,110
63,51
64,114
65,395
66,8
67,90
68,8
69,0
70,373
71,7
72,93
73,9
74,0
75,357
76,9
77,97
78,8
79,0
80,427
81,8
82,97
83,9
84,0
85,412
86,9
87,93
88,9
89,0
90,377
91,9
92,89
93,8
94,44
95,395
96,8
97,92
98,9
99,0
100,408
101,9
102,95
103,8
104,0
105,441
106,8
107,98
108,9
109,0
110,395
111,8
112,85
113,8
114,0
115,389
116,8
117,93
118,9
119,114827
120,181306
121,1129
122,19885
123,13138
124,85808
125,123981
126,1128
127,21120
128,1016
129,0
130,126573
131,1128
132,19855
133,1016
134,0
135,124168
136,1128
137,19972
138,1016
139,0
140,123911
141,1129
142,19933
143,1016
144,0
145,126815
146,1128
147,19875
148,1016
149,0
150,127685
151,1128
152,19921
153,1016
154,11328
155,126381
156,1128
157,19870
158,1016
159,0
160,127039
161,1128
162,19975
163,1017
164,0
165,127401
166,1128
167,19989
168,1016
169,0
170,126306
171,1128
172,19857
173,1016
174,0
175,127432
176,1128
177,19868
178,1016
179,5246
180,8149
181,107
182,906
183,799
184,1235
185,3451
186,3
187,97
188,1
189,0
190,1489
191,13
192,175
193,1
194,0
195,884
196,1
197,51
198,0
199,0
200,492
201,0
202,6
203,0
204,0
205,77
206,0
207,4
208,0
209,0
210,77
211,0
212,6
213,0
214,23
215,129
216,0
217,3
218,0
219,0
220,82
221,0
222,856
223,2
224,0
225,2312
226,31
227,475
228,1
229,0
230,1981
231,0
232,6
233,0
234,0
235,75
236,1
237,5
238,0
