,0
0,425570
1,30222
2,2294
3,48952
4,135027
5,22761
6,2479001
7,2360457
8,66263
9,22247
10,25519
11,1673626
12,23273
13,31776
14,55038
15,35972
16,21121
17,21666
18,25852
19,62840
20,6494
21,21238
22,24138
23,22701
24,63387
25,25716
26,1153
27,20721
28,59226
29,61823
30,25121
31,21061
32,1278
33,20889
34,64329
35,24772
36,33186
37,19936
38,16300
39,64533
40,25306
41,22276
42,20329
43,20641
44,1377
45,20685
46,21633
47,19733
48,20541
49,21847
50,70
51,20673
52,19943
53,20419
54,21986
55,21130
56,1668
57,20393
58,23145
59,586233
60,31361
61,1128
62,238
63,6012
64,2845
65,573
66,67990
67,781589
68,16463
69,1010
70,654
71,128967
72,628
73,734
74,2971
75,2050
76,636
77,576
78,726
79,2077
80,1367
81,640
82,500
83,619
84,1822
85,1936
86,110
87,657
88,8804
89,1823
90,2117
91,498
92,111
93,517
94,1867
95,1848
96,1386
97,667
98,3634
99,1805
100,1776
101,595
102,512
103,540
104,103
105,531
106,544
107,586
108,554
109,668
110,10
111,588
112,524
113,524
114,612
115,496
116,151
117,560
118,635
119,378764031
120,16480715
121,523292
122,60437
123,1982009
124,3263091
125,260592
126,54128261
127,516947850
128,9351137
129,401303
130,275754
131,83325356
132,247721
133,325774
134,1897629
135,907555
136,290149
137,259699
138,317854
139,1082868
140,595683
141,285651
142,246786
143,281744
144,895043
145,865310
146,32645
147,288568
148,2875291
149,824461
150,902609
151,245976
152,29299
153,254232
154,895051
155,838935
156,553194
157,294854
158,757493
159,871645
160,814737
161,274634
162,255670
163,247994
164,29246
165,255925
166,266448
167,280741
168,261769
169,294037
170,1128
171,274311
172,254572
173,249538
174,283516
175,246207
176,47244
177,266022
178,273888
179,1035134
180,151234
181,7943
182,1018
183,15149
184,43925
185,3098
186,910857
187,985955
188,15889
189,4457
190,5282
191,549824
192,4974
193,6530
194,13737
195,8117
196,4518
197,4859
198,5483
199,17142
200,1560
201,4560
202,5064
203,5302
204,17022
205,5202
206,657
207,4953
208,23762
209,16100
210,4879
211,4927
212,810
213,4493
214,18199
215,4756
216,12809
217,4712
218,13557
219,16800
220,4974
221,5576
222,4478
223,4736
224,775
225,4452
226,4699
227,4434
228,4820
229,5363
230,47
231,4920
232,4368
233,4682
234,5132
235,4810
236,976
237,4887
238,5583
