,0
0,219
1,1828
2,56
3,0
4,9338
5,181
6,1713
7,1011
8,0
9,11999
10,126
11,1621
12,170
13,0
14,6511
15,146
16,1552
17,185
18,0
19,6724
20,1
21,1711
22,160
23,0
24,6926
25,150
26,1405
27,114
28,0
29,6649
30,154
31,1590
32,1
33,0
34,7813
35,152
36,1592
37,146
38,0
39,7262
40,152
41,1119
42,150
43,0
44,12208
45,139
46,1778
47,138
48,0
49,12355
50,1
51,878
52,148
53,0
54,12690
55,147
56,785
57,163
58,899
59,654
60,7
61,97
62,8
63,0
64,400
65,12
66,92
67,55
68,0
69,363
70,9
71,86
72,9
73,0
74,413
75,9
76,87
77,9
78,0
79,468
80,8
81,93
82,10
83,0
84,447
85,9
86,94
87,8
88,0
89,466
90,8
91,103
92,8
93,0
94,448
95,8
96,82
97,9
98,0
99,418
100,53
101,92
102,9
103,0
104,381
105,9
106,98
107,9
108,0
109,353
110,9
111,81
112,9
113,0
114,361
115,9
116,94
117,9
118,46
119,258567
120,1128
121,20987
122,1016
123,0
124,129421
125,2660
126,23949
127,14068
128,0
129,132683
130,1125
131,19895
132,1013
133,0
134,148617
135,1125
136,19989
137,1016
138,0
139,152789
140,1125
141,19981
142,1013
143,0
144,159001
145,1128
146,19853
147,1013
148,0
149,153180
150,1125
151,19925
152,1013
153,0
154,174668
155,1125
156,20341
157,1016
158,0
159,140847
160,14185
161,19905
162,1013
163,0
164,128024
165,1125
166,20968
167,1013
168,0
169,131073
170,1124
171,19961
172,1013
173,0
174,128275
175,1127
176,19885
177,1016
178,11328
179,9463
180,110
181,1104
182,52
183,0
184,3573
185,104
186,1042
187,838
188,0
189,3669
190,77
191,1017
192,103
193,0
194,3555
195,91
196,1019
197,110
198,0
199,3589
200,1
201,1024
202,102
203,0
204,3432
205,97
206,776
207,71
208,0
209,3553
210,100
211,1044
212,1
213,0
214,4427
215,98
216,1026
217,91
218,0
219,3651
220,97
221,995
222,97
223,0
224,3486
225,88
226,1027
227,84
228,0
229,3526
230,1
231,801
232,94
233,0
234,3541
235,97
236,742
237,103
238,637
