,1
0,0.1472529
1,-0.37009114
2,-0.8593997
3,-1.5918976
4,-1.5997967
5,-1.6754446
6,-1.7776722
7,-1.9423761
8,-2.0965838
9,-2.1022773
10,-2.1038098
11,-2.133109
12,-2.1938
13,-2.2791963
14,-2.2737184
15,-2.2885711
16,-2.2954633
17,-2.3181698
18,-2.3411202
19,-2.3457289
20,-2.3557982
21,-2.3758228
22,-2.4037104
23,-2.4373953
24,-2.3719172
25,-2.2951257
26,-2.2332518
27,-2.208878
28,-1.781378
29,-1.2474053
30,-0.8245281
31,-0.6272752
32,-0.5245202
33,-0.35905
34,-0.45456696
35,-0.4028287
36,-0.4488136
37,-0.5197333
38,-0.7131829
39,-0.86858386
40,-1.2335373
41,-1.6886156
42,-2.2837892
43,-2.3555837
44,-2.3441377
45,-2.3557591
46,-2.346525
47,-2.3495598
48,-2.3423693
49,-2.3491879
50,-2.3586345
51,-2.3831935
52,-2.413739
53,-2.4539561
54,-2.4495482
55,-2.4464872
56,-2.4456446
57,-2.4483087
58,-2.4536054
59,-2.4515066
60,-2.4502993
61,-2.4490995
62,-2.4495378
63,-2.4519396
64,-2.4497182
65,-2.4505756
66,-2.4516654
67,-2.4560337
68,-2.4592047
69,-2.457477
70,-2.4561107
71,-2.454654
72,-2.4559145
73,-2.4582014
74,-2.4561722
75,-2.45589
76,-2.4546375
77,-2.4561548
78,-2.4585571
79,-2.4562378
80,-2.4554336
81,-2.4539282
82,-2.4552844
83,-2.457499
84,-2.4546666
85,-2.4537587
86,-2.4518769
87,-2.4530916
88,-2.418155
89,-2.3704264
90,-2.3318455
91,-2.3126347
92,-2.3060422
93,-2.3006911
94,-2.3208144
95,-2.314856
96,-2.3194911
97,-2.310535
98,-2.3266294
99,-2.3378742
100,-2.3734255
101,-2.4128606
102,-2.4695327
103,-2.4730506
104,-2.47282
105,-2.472423
106,-2.4721565
107,-2.473149
108,-2.4747376
109,-2.4735322
110,-2.4730403
111,-2.4726858
112,-2.3604739
113,-1.6493839
114,-0.92244124
115,-0.3816363
116,-0.3200978
117,-0.24248813
118,0.10158357
119,0.09590356
120,0.37931687
121,0.70250434
122,0.86893386
123,0.9629462
124,0.94383454
125,1.0
126,0.97193044
127,0.6706158
128,0.46486616
129,0.6705196
130,0.7507347
131,0.8574743
132,0.66197634
133,0.49993092
134,0.692912
135,0.7512154
136,0.8636303
137,0.67075723
138,0.5093781
139,0.698452
140,0.7492617
141,0.8607052
142,0.6696348
143,0.520389
144,0.71241766
145,0.75552845
146,0.8524957
147,0.6588665
148,0.3558507
149,0.39083079
150,-0.2876294
151,-0.8637701
152,-1.383526
153,-1.2021785
154,-3.013575
155,-4.5250187
156,-3.42935
157,-4.535147
158,-3.1147795
159,-2.6935475
160,-0.10787781
161,-0.20359087
162,0.5282778
163,0.21023335
164,0.39144662
165,0.4729583
166,0.5567575
167,0.3779362
168,0.17306359
169,0.39471897
170,0.47638902
171,0.56012875
172,0.37947917
173,0.17741317
174,0.20914945
175,0.12733127
176,0.13821235
177,-0.059787974
178,-0.35442576
179,-0.4426802
180,-0.5421965
181,-0.90597826
182,-1.4025987
183,-2.0759616
184,-2.1003745
185,-2.1495447
186,-2.1933823
187,-2.260025
188,-2.3123794
189,-2.3138037
190,-2.3098173
191,-2.3151073
192,-2.33734
193,-2.3692825
194,-2.365153
195,-2.3727357
196,-2.3753784
197,-2.387387
198,-2.3995492
199,-2.4028208
200,-2.4100595
201,-2.4219692
202,-2.4382594
203,-2.4566092
204,-2.4268098
205,-2.3924842
206,-2.3667102
207,-2.3578577
208,-2.0758185
209,-1.6925805
210,-1.3784256
211,-1.1855242
212,-1.0930932
213,-1.0143566
214,-1.1772385
215,-1.1594907
216,-1.2221984
217,-1.2235006
218,-1.3720639
219,-1.4649211
220,-1.7264524
221,-2.0192852
222,-2.419834
223,-2.4259667
224,-2.4206061
225,-2.4265578
226,-2.422048
227,-2.4232998
228,-2.4193442
229,-2.4233556
230,-2.4284344
231,-2.4408634
232,-2.4558039
233,-2.476334
234,-2.476844
235,-2.477983
236,-1.589732
237,-0.84365934
238,-0.13836186
