,0
0,5130
1,15512
2,207
3,1352
4,192
5,0
6,12067
7,13
8,96
9,1
10,0
11,6995
12,12
13,84
14,1
15,0
16,910
17,0
18,10
19,0
20,0
21,185
22,0
23,13
24,0
25,0
26,200
27,0
28,17
29,78
30,0
31,1454
32,2
33,16
34,11
35,0
36,461
37,0
38,6
39,0
40,0
41,163
42,291
43,1573
44,2
45,0
46,10981
47,0
48,5
49,0
50,0
51,422
52,0
53,7
54,0
55,0
56,199
57,1
58,5
59,453
60,297
61,776
62,11
63,158
64,9
65,0
66,323
67,9
68,119
69,10
70,0
71,358
72,7
73,112
74,10
75,0
76,340
77,10
78,99
79,9
80,0
81,361
82,9
83,97
84,9
85,0
86,341
87,11
88,103
89,54
90,0
91,410
92,10
93,108
94,52
95,0
96,367
97,9
98,105
99,9
100,0
101,377
102,10
103,116
104,9
105,0
106,343
107,10
108,105
109,9
110,0
111,338
112,10
113,101
114,9
115,0
116,372
117,8
118,100
119,124753
120,87614
121,263355
122,1129
123,32973
124,1013
125,0
126,120193
127,1125
128,19823
129,1013
130,0
131,127473
132,1125
133,19861
134,1013
135,0
136,126044
137,1125
138,19798
139,1013
140,0
141,125880
142,1125
143,19913
144,4336
145,0
146,126140
147,1126
148,19926
149,14137
150,0
151,145706
152,1128
153,20250
154,12330
155,0
156,125226
157,1125
158,19834
159,1013
160,0
161,125083
162,1125
163,19859
164,1013
165,0
166,129196
167,1165
168,19881
169,1013
170,0
171,125316
172,1125
173,19799
174,1055
175,0
176,125157
177,1125
178,19844
179,6015
180,4061
181,8679
182,115
183,1034
184,110
185,0
186,3587
187,13
188,88
189,1
190,0
191,2971
192,1
193,72
194,1
195,0
196,551
197,0
198,9
199,0
200,0
201,95
202,0
203,3
204,0
205,0
206,87
207,0
208,16
209,54
210,0
211,991
212,0
213,14
214,10
215,0
216,267
217,0
218,6
219,0
220,0
221,58
222,108
223,890
224,1
225,0
226,2453
227,0
228,4
229,0
230,0
231,92
232,0
233,5
234,0
235,0
236,70
237,1
238,5
