,0
0,2631015
1,2368644
2,3291806
3,3492996
4,5461167
5,5569955
6,6453372
7,3334268
8,2618464
9,4446222
10,4915429
11,2181244
12,842484
13,85581
14,292222
15,4424655
16,9443
17,2932
18,2260
19,2227987
20,58237
21,27314
22,1629
23,9744
24,14951
25,12568
26,12699
27,2846
28,11054
29,3706
30,37190
31,1826
32,2652
33,5251
34,1582
35,4930
36,4654
37,1093
38,3162
39,1299
40,20777
41,4418
42,2959
43,6166
44,28913
45,27109
46,2347
47,10294
48,60263
49,6835
50,2519
51,74155
52,38597
53,25250
54,939
55,1241
56,26803
57,56830
58,5924
59,432213
60,522377
61,500989
62,547638
63,697636
64,768727
65,386172
66,570449
67,767912
68,407570
69,375110
70,304087
71,779440
72,113561
73,53948
74,103014
75,166835
76,7542
77,7275
78,5729
79,94883
80,15754
81,5245
82,4069
83,5269
84,6283
85,12083
86,6669
87,4841
88,7055
89,9582
90,6178
91,4053
92,4584
93,4422
94,3694
95,3680
96,5444
97,3954
98,3135
99,3667
100,10688
101,3941
102,5886
103,4451
104,11225
105,4859
106,3878
107,3844
108,3118
109,3524
110,2626
111,3753
112,3214
113,7020
114,2471
115,2929
116,3231
117,13517
118,5774
119,345327649
120,336795759
121,395612997
122,553320416
123,543620399
124,437913839
125,362924960
126,422102045
127,442305791
128,222297131
129,313802803
130,264584456
131,469383782
132,85879200
133,34226561
134,79699940
135,127478303
136,5694231
137,5071392
138,4469081
139,73504225
140,9990831
141,4604912
142,3662550
143,4667083
144,5231301
145,7166668
146,4743756
147,3923707
148,4436760
149,5057424
150,8125136
151,3770762
152,3578497
153,3913733
154,3438666
155,3553914
156,4366770
157,3271745
158,3286460
159,3666777
160,7194257
161,3751265
162,4109657
163,3975105
164,6946385
165,7875139
166,3821769
167,3810122
168,3342050
169,3338869
170,3178748
171,3817372
172,3328344
173,4475071
174,3106264
175,3233714
176,3628263
177,10580048
178,3977498
179,790094
180,941068
181,968029
182,1359021
183,1501358
184,2227829
185,2160972
186,2917211
187,1663760
188,879476
189,1748746
190,2343960
191,1486822
192,220697
193,52119
194,186209
195,1895021
196,6238
197,1804
198,1083
199,1352592
200,13621
201,16344
202,750
203,6529
204,7532
205,4400
206,4663
207,1264
208,4495
209,1637
210,18299
211,727
212,1144
213,3686
214,1120
215,3683
216,1775
217,813
218,1821
219,986
220,8882
221,2023
222,1427
223,4583
224,10542
225,12796
226,1141
227,3215
228,20238
229,3373
230,1155
231,33303
232,14070
233,13555
234,581
235,894
236,15581
237,16848
238,2710
