,0
0,7379
1,16457
2,1185
3,1484
4,0
5,0
6,11616
7,5
8,1509
9,181
10,0
11,10960
12,199
13,752
14,169
15,0
16,11036
17,150
18,1571
19,6
20,0
21,10498
22,146
23,1561
24,236
25,0
26,11344
27,159
28,1535
29,162
30,0
31,10826
32,174
33,1585
34,153
35,0
36,11178
37,1
38,1404
39,172
40,0
41,11348
42,160
43,814
44,161
45,0
46,11020
47,162
48,1490
49,8
50,0
51,11484
52,153
53,1898
54,161
55,0
56,10207
57,160
58,1471
59,547
60,352
61,729
62,54
63,98
64,0
65,0
66,356
67,11
68,89
69,11
70,0
71,379
72,11
73,88
74,10
75,0
76,364
77,11
78,93
79,8
80,0
81,399
82,11
83,93
84,12
85,0
86,362
87,11
88,91
89,10
90,0
91,371
92,10
93,95
94,10
95,0
96,357
97,9
98,100
99,11
100,0
101,339
102,11
103,94
104,11
105,0
106,344
107,12
108,91
109,10
110,0
111,347
112,11
113,133
114,12
115,0
116,320
117,11
118,88
119,197622
120,96044
121,221183
122,14274
123,19702
124,0
125,0
126,127936
127,1129
128,19849
129,1016
130,0
131,128574
132,1128
133,19863
134,1016
135,0
136,129634
137,1128
138,19974
139,1016
140,0
141,128244
142,1128
143,19866
144,1977
145,0
146,128144
147,1128
148,19893
149,1016
150,0
151,127926
152,1128
153,19849
154,1016
155,0
156,126116
157,1128
158,19892
159,1016
160,0
161,131038
162,1128
163,21548
164,1016
165,0
166,127719
167,1128
168,19803
169,1016
170,0
171,130056
172,1128
173,31120
174,1058
175,0
176,126114
177,1125
178,19894
179,7572
180,4359
181,8327
182,910
183,1006
184,0
185,0
186,3458
187,5
188,970
189,113
190,0
191,3453
192,98
193,715
194,105
195,0
196,3440
197,98
198,995
199,4
200,0
201,3572
202,95
203,1028
204,106
205,0
206,3419
207,107
208,985
209,109
210,0
211,3362
212,109
213,1011
214,100
215,0
216,3449
217,1
218,852
219,111
220,0
221,3482
222,102
223,755
224,105
225,0
226,3599
227,106
228,987
229,2
230,0
231,3698
232,98
233,1387
234,110
235,0
236,3592
237,105
238,977
