,0
0,5948257
1,1021357
2,38418
3,2397883
4,7256
5,3694
6,31
7,1309595
8,41416
9,356
10,15036
11,572852
12,94
13,13049
14,309
15,739
16,0
17,6
18,0
19,201
20,932
21,0
22,446
23,0
24,11723
25,235
26,32050
27,0
28,14
29,45364
30,1951
31,11814
32,0
33,7
34,214
35,1285
36,27737
37,1287
38,0
39,0
40,4695
41,1
42,301
43,0
44,700
45,706
46,204
47,0
48,0
49,0
50,3178
51,0
52,11
53,0
54,0
55,40
56,0
57,47
58,0
59,506005
60,712403
61,124632
62,15156
63,176985
64,1165
65,183
66,147
67,92071
68,7803
69,1164
70,1804
71,15231
72,102
73,1292
74,79
75,134
76,0
77,81
78,0
79,51
80,197
81,8
82,202
83,0
84,1365
85,172
86,5345
87,9
88,100
89,12008
90,2792
91,16452
92,10
93,102
94,9
95,65
96,1598
97,190
98,0
99,0
100,166
101,9
102,91
103,0
104,52
105,55
106,94
107,0
108,0
109,0
110,102
111,8
112,99
113,0
114,0
115,51
116,0
117,93
118,0
119,398545369
120,372024962
121,75267847
122,10058265
123,174141616
124,506403
125,67967
126,38731
127,72979028
128,5622463
129,349921
130,679140
131,13986004
132,27337
133,1477576
134,19103
135,52844
136,0
137,20451
138,0
139,13978
140,57061
141,1125
142,53901
143,0
144,741997
145,84614
146,3113056
147,1126
148,26275
149,7864890
150,1543444
151,7539877
152,1126
153,25618
154,1053
155,30655
156,1537960
157,50951
158,0
159,0
160,37448
161,1128
162,21855
163,0
164,15281
165,30228
166,23124
167,0
168,0
169,0
170,22815
171,1128
172,21509
173,0
174,0
175,32146
176,0
177,20455
178,0
179,1244661
180,2019058
181,353822
182,19503
183,1047303
184,2978
185,515
186,11
187,466792
188,17897
189,175
190,2806
191,245075
192,85
193,6347
194,38
195,182
196,0
197,3
198,0
199,195
200,471
201,0
202,373
203,0
204,3760
205,168
206,7694
207,0
208,7
209,21132
210,929
211,5277
212,0
213,4
214,89
215,969
216,12647
217,476
218,0
219,0
220,2008
221,1
222,274
223,0
224,476
225,381
226,165
227,0
228,0
229,0
230,1234
231,0
232,10
233,0
234,0
235,29
236,0
237,7
238,0
